学校,学科,等级/结果,推测等级或第四轮等级,时间,来源,渠道,标题,链接,备注,网页存档
北京理工大学,材料科学与工程,A,,1月1日,北京理工大学鸿材书院,微信公众号,2022|叮“北理工材料人的这一年”上线啦！,https://mp.weixin.qq.com/s/CTNfUO3UxcbUsaO00kqSoA,视频第7秒处,https://archive.is/4CibD
北京理工大学,管理科学与工程,优势学科（标绿）,A,1月12日,,,第九届“特立论坛”-国际青年学者论坛,,龙腾院士（北理工校长）作报告时ppt所示,
北京理工大学,管理科学与工程,取得进步,第四轮A-,12月31日,北理工管院校友办,微信公众号,北理工管院校友工作办公室恭祝您2023新年快乐！,https://mp.weixin.qq.com/s/dfLBIjDIPULZsM0JJYbVPQ,,https://archive.is/vfrLc
北京理工大学,力学,优势学科（标蓝）,A-,1月12日,,,第九届“特立论坛”-国际青年学者论坛,,龙腾院士（北理工校长）作报告时ppt所示,
北京理工大学,力学,A-,,2月6日,BIT宇航人,微信公众号,北京理工大学宇航学院诚邀全球英才申报2023年优青（海外）项目,https://mp.weixin.qq.com/s/KxEAA_SSURilJ34Qhgy_sA,,https://archive.is/jMSM7
北京理工大学,航空宇航科学与技术,B+,,2月6日,BIT宇航人,微信公众号,北京理工大学宇航学院诚邀全球英才申报2023年优青（海外）项目,https://mp.weixin.qq.com/s/KxEAA_SSURilJ34Qhgy_sA,,https://archive.is/jMSM7
北京理工大学,化学工程与技术,优势学科（标蓝）,A-,1月12日,,,第九届“特立论坛”-国际青年学者论坛,,龙腾院士（北理工校长）作报告时ppt所示,
北京理工大学,数学,优势学科（标蓝）,A-,1月12日,,,第九届“特立论坛”-国际青年学者论坛,,龙腾院士（北理工校长）作报告时ppt所示,
北京理工大学,物理学,优势学科（标蓝）,A-,1月12日,,,第九届“特立论坛”-国际青年学者论坛,,龙腾院士（北理工校长）作报告时ppt所示,
北京理工大学,物理学,取得重大突破,,12月31日,北京理工大学物理学院,微信公众号,物理学院2023年新年贺词|厚积薄发 蓄力前行,https://mp.weixin.qq.com/s/-84VrmRqU5Og7y2OWK_UJw,,https://archive.is/jSSX6
北京理工大学,工商管理,优势学科（标蓝）,A-,1月12日,,,第九届“特立论坛”-国际青年学者论坛,,龙腾院士（北理工校长）作报告时ppt所示,
北京理工大学,工商管理,取得进步,第四轮B+,12月31日,北理工管院校友办,微信公众号,北理工管院校友工作办公室恭祝您2023新年快乐！,https://mp.weixin.qq.com/s/dfLBIjDIPULZsM0JJYbVPQ,,https://archive.is/vfrLc
北京理工大学,应用经济学,取得进步,第四轮B,12月31日,北理工管院校友办,微信公众号,北理工管院校友工作办公室恭祝您2023新年快乐！,https://mp.weixin.qq.com/s/dfLBIjDIPULZsM0JJYbVPQ,,https://archive.is/vfrLc
北京林业大学,,20个参评学科有17个实现了晋级，A档学科及专业学位数达到5个,,12月31日,北京林业大学,网站,育人七秩铸林魂 踔厉奋发创一流——北京林业大学2023年新年贺词,http://www.bjfu.edu.cn/ttxw/412309.htm,,https://archive.is/DdpsO
北京建筑大学,,取得新突破,,1月1日,北京建筑大学新闻网,网站,建功新征程 筑梦新时代|北京建筑大学2023年新年贺词,https://xww.bucea.edu.cn/tgx/04c18a23a9f440ed9ba63fcd434f2b01.htm,,https://archive.is/PcDs7
北京师范大学,理论经济学,A类,第四轮A-,12月31日,北京师范大学经济与工商管理学院,网站,北师大经管学院新年献词,http://bs.bnu.edu.cn/xw/249687.html,,https://archive.is/qoKf8
北京师范大学,应用经济学,迈上新台阶,B-,12月31日,北京师范大学经济与工商管理学院,网站,北师大经管学院新年献词,http://bs.bnu.edu.cn/xw/249687.html,,https://archive.is/qoKf8
北京师范大学,工商管理,迈上新台阶,B+,12月31日,北京师范大学经济与工商管理学院,网站,北师大经管学院新年献词,http://bs.bnu.edu.cn/xw/249687.html,,https://archive.is/qoKf8
北京石油化工学院,,我校2018年获批硕士学位授予单位后第一次参加全国学科评估，大家要看到积极的方面，目前大家对于学科建设和研究生培养的信心士气比黄金还重要,,1月16日,北京石油化工学院,网站,学校召开学科建设与研究生培养工作座谈会,https://www.bipt.edu.cn/pub/graduate/xwdt/9fde1d84bec94090ad6c8f12b8f101ab.htm,,https://web.archive.org/web/20230209083439/https://www.bipt.edu.cn/pub/graduate/xwdt/9fde1d84bec94090ad6c8f12b8f101ab.htm
北京协和医学院,,成绩喜人,,12月31日,中国医学科学院新闻中心,微信公众号,2023，新年祝词,https://mp.weixin.qq.com/s/6V9IUmnxHva7MI0Li-0WzQ,,https://archive.is/3ToSR
北京协和医学院,,显著进步,,1月11日,北京协和医学院,网站,2023院校年度工作会议在京召开,https://www.pumc.edu.cn/yxbd/ab987080457145d28b1a93fbd4725cee.htm,,https://web.archive.org/web/20230206140833/https://www.pumc.edu.cn/yxbd/ab987080457145d28b1a93fbd4725cee.htm
北京信息科技大学,,突破性成绩,,12月31日,北京信息科技大学,网站,2022年北京信息科技大学二十大新闻事件,https://www.bistu.edu.cn/yw/202212/t20221231_385251.html,,https://archive.is/bSd67
北京印刷学院,,历史性突破,,1月6日,北京印刷学院,网站,学校召开中共北京印刷学院第三届委员会第十六次会议 审议通过2022年工作总结,https://news.bigc.edu.cn/zhxw/464242123e914b75b4fae97f31a4e7e5.htm,,http://webcache.googleusercontent.com/search?q=cache:nJlCu0jZKLAJ:https://news.bigc.edu.cn/zhxw/464242123e914b75b4fae97f31a4e7e5.htm&hl=zh-CN&gl=sg&strip=1&vwsrc=0
北京印刷学院,,取得重大突破 跃上新台阶,第四轮设计学B-、新闻传播学C+、美术学C+、材料科学与工程C-,1月18日,北京印刷学院,微信公众号,犯其至难而图其至远 踏上癸卯新征程,https://mp.weixin.qq.com/s/U4Ewwhj1wHSIzwF3onvYPw,,https://archive.is/wip/T4qNg
北京语言大学,中国语言文学,进入全国排名前列，学科建设获得重大历史性突破,第四轮B+,12月31日,北语新闻网,网站,启航2023 | 党委书记倪海东、校长刘利发表新年贺词,http://news.blcu.edu.cn/info/1011/24044.htm,,https://web.archive.org/web/20230206154440/http://news.blcu.edu.cn/info/1011/24044.htm
北京中医药大学,中医学,再创佳绩,A+,12月31日,北京中医药大学,微信公众号,北京中医药大学2023年新年贺词：在温暖与奋斗中接续前行,https://mp.weixin.qq.com/s/QPq0Hc7bd7YxII8UhV5wMQ,,https://archive.is/uzoiU
北京中医药大学,中西医结合,再创佳绩,A+,12月31日,北京中医药大学,微信公众号,北京中医药大学2023年新年贺词：在温暖与奋斗中接续前行,https://mp.weixin.qq.com/s/QPq0Hc7bd7YxII8UhV5wMQ,,https://archive.is/uzoiU
北京中医药大学,中药学,突破性进展,A-,12月31日,北京中医药大学,微信公众号,北京中医药大学2023年新年贺词：在温暖与奋斗中接续前行,https://mp.weixin.qq.com/s/QPq0Hc7bd7YxII8UhV5wMQ,,https://archive.is/uzoiU
北京中医药大学,公共管理,首次参评，实现了预期的目标,,1月9日,北京中医药大学,微信公众号,北中医2022年度十大新闻，揭晓！,https://mp.weixin.qq.com/s/mOA5rUmWJd5oCEwkxHaPhQ,,https://archive.is/iNn6V
渤海大学,控制科学与工程,较好成绩,,1月22日,渤海大学控制科学与工程学院,网站,渤海大学控制科学与工程学院2022年度十大新闻,http://www3.bhu.edu.cn/page/depart/gxy/news.asp?id=21650,,https://web.archive.org/web/20230209084333/http://www3.bhu.edu.cn/page/depart/gxy/news.asp?id=21650
长春理工大学,光学工程,吉林省属高校唯一的A类学科,A,12月31日,长春理工大学,微信公众号,长春理工大学2023年新年贺词,https://mp.weixin.qq.com/s/Ystns1QP2uU_lCw9oAErUA,,https://archive.is/OiE6N
长春理工大学,,成绩明显优于第四轮学科评估结果,,1月14日,长春理工大学,网站,长春理工大学2022年度十件大事,https://www.cust.edu.cn/lgtt/f5cbf6327f5449aaa0849f167c70c79d.htm,吉林省属高校唯一的A类学科,https://web.archive.org/web/20230206114531/https://www.cust.edu.cn/lgtt/f5cbf6327f5449aaa0849f167c70c79d.htm
长春理工大学,光学工程,A类,A,1月14日,长春理工大学,网站,长春理工大学2022年度十件大事,https://www.cust.edu.cn/lgtt/f5cbf6327f5449aaa0849f167c70c79d.htm,吉林省属高校唯一的A类学科,https://web.archive.org/web/20230206114531/https://www.cust.edu.cn/lgtt/f5cbf6327f5449aaa0849f167c70c79d.htm
